,extraction_date,round,name,club,position,fantasy_value,fantasy_position_group,minutes,man_of_match,meters_carried,defenders_beaten,offloads,tries,assists,conversions,penalties,drop_goals,scrum_wins,kick_50_22,tackles,breakdown_steals,lineout_steals,penalties_conceded,yellow_cards,red_cards,points,,
122,10/02/2025,2,N. Tompkins,Wales,Centre,13.1,Centre,69,,16,,,,,,,,,,1,,,,,,2,,
123,10/02/2025,2,J. Adams,Wales,Back Three,12.5,Back Three,70,,24,3,,,,,,,,,,,,1,1,,2,,
124,10/02/2025,2,S. Skinner,Scotland,Second Row,10,Subs,12,,,,,,,,,,,,2,,,,,,2,,
125,10/02/2025,2,N. Smith,Wales,Prop,7.4,Subs,35,,18,,,,,,,,,,1,,,,,,2,,
126,10/02/2025,2,F. Russell,Scotland,Fly-Half,19.5,Fly-half,21,,2,,,,,,,,,,1,,,,,,1,,
127,10/02/2025,2,N. Le Garrec,France,Scrum-Half,12,Subs,14,,1,,,,,,,,,,1,,,,,,1,,
128,10/02/2025,2,J. Hathaway,Wales,Back Three,,,30,,4,,,,,,,,,,1,,,,,,1,,
129,10/02/2025,2,A. Garbisi,Italy,Scrum-Half,8,Subs,11,,,,,,,,,,,,1,,,,,,1,,
130,10/02/2025,2,J. Crowley,Ireland,Fly-Half,14,Subs,15,,9,,,,,,,,,,,,,,,,,,
131,10/02/2025,2,R. Williams,Wales,Scrum-Half,9,Subs,13,,3,,,,,,,,,,,,,,,,,,
132,10/02/2025,2,M. Riccioni,Italy,Prop,8.2,Subs,25,,,,,,,,,,1,,6,,,2,1,,,,
133,10/02/2025,2,W. Hurd,Scotland,Prop,7.2,Subs,12,,2,,,,,,,,,,,,,1,,,-1,,
134,10/02/2025,2,D. Lamb,Italy,Second Row,8.5,Subs,17,,,,,,,,,,1,,4,,,2,1,,-2,,
135,10/02/2025,2,T. Reffell,Wales,Back Row,,,,,,,,,,,,,,,,,,,,,,,
136,10/02/2025,2,R. Ntamack,France,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
137,10/02/2025,2,D. Jenkins,Wales,Second Row,15.6,Second-row,,,,,,,,,,,,,,,,,,,,,
138,10/02/2025,2,M. Hansen,Ireland,Back Three,14.1,Back Three,,,,,,,,,,,,,,,,,,,,,
139,10/02/2025,2,G. Ford,England,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
140,10/02/2025,2,G. Ford,England,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
141,10/02/2025,2,N. Depoortere,France,Centre,,,,,,,,,,,,,,,,,,,,,,,
142,10/02/2025,2,J. McCarthy,Ireland,Second Row,,,,,,,,,,,,,,,,,,,,,,,
143,10/02/2025,2,C. Cunningham-South,England,Back Row,13,Subs,,,,,,,,,,,,,,,,,,,,,
144,10/02/2025,2,G. Villiere,France,Back Three,,,,,,,,,,,,,,,,,,,,,,,
145,10/02/2025,2,T. Attissogbe,France,Back Three,,,,,,,,,,,,,,,,,,,,,,,
